Identifier,Type,Rate
274,Ru-106,7.77E+05
286,Ru-106,8.18E+05
349,Ru-106,5.77E+05
383,Ru-106,2.44E+05
393,Ru-106,5.00E+05
394,Ru-106,1.20E+06
397,Ru-106,5.88E+06
403,Ru-106,4.37E+05
406,Ru-106,5.18E+05
409,Ru-106,1.24E+06
438,Ru-106,4.29E+05
489,Ru-106,8.66E+05
244,Ru-106,1.62E+06
65,Ru-106,1.41E+06
242,Ru-106,1.61E+06
245,Ru-106,6.62E+05
273,Ru-106,2.56E+06
348,Ru-106,6.85E+05
364,Ru-106,4.92E+06
437,Ru-106,9.44E+05
66,Ru-106,2.18E+06
83,Ru-106,6.59E+05
475,Ru-106,4.51E+05
51,Ru-106,1.62E+06
67,Ru-106,9.88E+05
228,Ru-106,1.83E+06
258,Ru-106,1.46E+06
107,Ru-106,9.73E+05
201,Ru-106,1.14E+06
216,Ru-106,5.59E+05
272,Ru-106,1.16E+06
474,Ru-106,6.29E+05
488,Ru-106,9.95E+05
10,Ru-106,5.48E+05
139,Ru-106,9.51E+05
520,Ru-106,4.22E+05
20,Ru-106,9.66E+05
49,Ru-106,7.96E+05
85,Ru-106,
94,Ru-106,1.47E+06
215,Ru-106,2.11E+06
227,Ru-106,1.50E+06
257,Ru-106,1.13E+06
391,Ru-106,1.27E+06
456,Ru-106,2.34E+06
19,Ru-106,8.58E+05
52,Ru-106,7.22E+05
54,Ru-106,5.99E+05
64,Ru-106,1.02E+06
79,Ru-106,1.74E+06
122,Ru-106,8.47E+05
137,Ru-106,1.00E+06
455,Ru-106,2.58E+06
63,Ru-106,1.18E+06
78,Ru-106,1.95E+06
472,Ru-106,1.03E+06
490,Ru-106,1.77E+06
35,Ru-106,2.01E+06
17,Ru-106,2.58E+06
18,Ru-106,1.15E+06
93,Ru-106,1.14E+06
136,Ru-106,3.24E+06
256,Ru-106,1.12E+07
399,Ru-106,6.36E+05
452,Ru-106,4.96E+05
454,Ru-106,2.89E+06
470,Ru-106,3.81E+06
471,Ru-106,1.14E+06
506,Ru-106,1.46E+06
535,Ru-106,6.48E+05
241,Ru-106,1.30E+06
436,Ru-106,1.18E+06
50,Ru-106,2.52E+06
347,Ru-106,
62,Ru-106,3.27E+06
3,Ru-106,
5,Ru-106,2.85E+06
106,Ru-106,3.26E+06
121,Ru-106,9.84E+05
138,Ru-106,1.21E+06
213,Ru-106,7.44E+06
380,Ru-106,4.22E+05
392,Ru-106,7.81E+05
453,Ru-106,4.77E+05
486,Ru-106,2.53E+06
487,Ru-106,1.76E+06
226,Ru-106,1.04E+06
48,Ru-106,2.39E+06
61,Ru-106,2.84E+06
214,Ru-106,5.14E+06
421,Ru-106,2.26E+06
505,Ru-106,1.53E+06
518,Ru-106,6.33E+05
21,Ru-106,2.52E+06
33,Ru-106,3.26E+06
92,Ru-106,5.74E+05
2,Ru-106,3.00E+06
4,Ru-106,2.42E+06
16,Ru-106,2.77E+06
25,Ru-106,1.14E+06
34,Ru-106,1.44E+06
46,Ru-106,4.22E+06
47,Ru-106,3.57E+06
77,Ru-106,1.19E+06
212,Ru-106,5.99E+06
271,Ru-106,2.70E+06
473,Ru-106,2.72E+06
485,Ru-106,6.25E+06
533,Ru-106,1.13E+06
8,Ru-106,2.60E+06
76,Ru-106,5.00E+06
502,Ru-106,4.44E+06
532,Ru-106,1.74E+06
1,Ru-106,6.36E+06
6,Ru-106,3.12E+06
24,Ru-106,2.11E+06
32,Ru-106,3.43E+06
37,Ru-106,3.12E+06
39,Ru-106,3.24E+06
91,Ru-106,4.00E+06
365,Ru-106,6.81E+06
468,Ru-106,7.22E+06
484,Ru-106,6.33E+06
501,Ru-106,5.18E+06
503,Ru-106,3.62E+06
504,Ru-106,3.38E+06
514,Ru-106,3.70E+06
516,Ru-106,8.92E+05
519,Ru-106,1.48E+06
528,Ru-106,6.40E+06
529,Ru-106,4.00E+06
530,Ru-106,1.35E+06
534,Ru-106,1.96E+06
7,Ru-106,2.73E+06
346,Ru-106,
9,Ru-106,2.47E+06
31,Ru-106,5.62E+06
38,Ru-106,1.82E+06
378,Ru-106,5.92E+06
515,Ru-106,5.37E+06
363,Ru-106,
483,Ru-106,5.59E+06
513,Ru-106,8.88E+05
361,Ru-106,
466,Ru-106,1.20E+07
527,Ru-106,6.70E+06
22,Ru-106,2.94E+06
