Chornobyl_Center_ID,Biota_latin_name,Biota_common_name,Date_sampled,Site_Location_within_Chernobyl_exclusion_zone,Sex,Fresh_mass_of_biota_grams,Mass_of_biota_carcass_grams,Notes,Sr-90<,Sr-90_Bq_per_sample,error_Sr-90_Bq_per_Sample,Cs-137<,Cs-137_Bq_per_sample,error_Cs-137_Bq_per_Sample,"Pu-239,240_Bq_per_sample","error_Pu-239,240_Bq_per_Sample",Pu-238<,Pu-238_Bq_per_sample,error_Pu-238_Bq_per_Sample,Sr-90_Bq_per_kg_FW,Cs-137_Bq_per_kg_FW,"Pu-239,240_Bq_per_kg_FW",Pu-238<,Pu-238_Bq_per_kg_FW,Sr-90_Concentration_ratio,Cs-137_Concentration_ratio,"Pu-239,40_Concentration_ratio",Pu-238<,Pu-238_isotope_Concentration_ratio
G007261,Nyctalus leisleri,Leislers bat,1/6/2008,Medium,Male,11,n/a,without gut,n/a,7.15E+01,1.46E+00,n/a,1.22E+01,1.03E+00,6.55E-04,3.27E-04,n/a,3.05E-04,1.37E-04,6.50E+03,1.11E+03,5.95E-02,n/a,2.78E-02,3.51E-01,2.56E-02,1.00E-01,n/a,1.20E-01
G007121,Apodemus flavicollis,Yellow-necked mouse,8/8/2005,Medium,Male,32.4,9.05,Recorded biota mass was for partially dry sample,n/a,4.15E+02,1.53E+01,n/a,2.38E+03,1.41E+02,3.14E-03,4.19E-04,n/a,1.72E-03,2.46E-04,4.59E+04,2.63E+05,9.68E-02,n/a,5.31E-02,2.47E+00,6.07E+00,1.63E-01,n/a,2.30E-01
G007122,Apodemus flavicollis,Yellow-necked mouse,8/8/2005,Medium,Male,37.6,14.3,Recorded biota mass was for partially dry sample,n/a,6.09E+02,8.32E+00,n/a,9.86E+02,5.86E+01,2.83E-03,4.26E-04,n/a,7.37E-04,1.45E-04,4.26E+04,6.90E+04,7.52E-02,n/a,1.96E-02,2.30E+00,1.59E+00,1.26E-01,n/a,8.48E-02
G007123,Apodemus flavicollis,Yellow-necked mouse,8/8/2005,Medium,Female,18.8,4.42,Recorded biota mass was for partially dry sample,n/a,8.40E+02,5.92E+00,n/a,6.43E+02,3.83E+01,1.05E-03,1.56E-04,n/a,4.38E-04,5.52E-05,1.90E+05,1.45E+05,5.58E-02,n/a,2.33E-02,1.02E+01,3.36E+00,9.39E-02,n/a,1.01E-01
G007136,Apodemus flavicollis,Yellow-necked mouse,8/8/2005,Medium,Female,32,12.2,Recorded biota mass was for partially dry sample,n/a,3.60E+02,2.42E+00,n/a,2.23E+02,1.19E+01,1.04E-02,5.81E-04,n/a,4.54E-03,3.49E-04,2.95E+04,1.83E+04,3.26E-01,n/a,1.42E-01,1.59E+00,4.22E-01,5.48E-01,n/a,6.13E-01
G007119,Myodes glareolus,Bank vole,8/8/2005,Medium,Male,18.2,8.72,Gutted,n/a,4.73E+02,3.33E+00,n/a,2.86E+02,1.70E+01,1.46E-03,1.92E-04,n/a,6.76E-04,8.51E-05,5.43E+04,3.28E+04,8.04E-02,n/a,3.71E-02,2.93E+00,7.58E-01,1.35E-01,n/a,1.61E-01
G007120,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,18.6,10.4,Gutted,n/a,4.06E+02,3.34E+00,n/a,4.47E+02,2.66E+01,2.14E-03,3.91E-04,n/a,1.34E-03,2.34E-04,3.90E+04,4.30E+04,1.15E-01,n/a,7.23E-02,2.10E+00,9.93E-01,1.93E-01,n/a,3.13E-01
G007124,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,17.8,8.72,Gutted,n/a,1.25E+03,5.68E+00,n/a,8.67E+02,5.15E+01,4.52E-03,5.94E-04,n/a,2.51E-03,3.66E-04,1.44E+05,9.94E+04,2.54E-01,n/a,1.41E-01,7.74E+00,2.30E+00,4.28E-01,n/a,6.10E-01
G007125,Myodes glareolus,Bank vole,9/8/2005,Medium,Male,19.1,9.84,Gutted,n/a,2.75E+02,2.41E+00,n/a,1.45E+02,8.65E+00,2.10E-03,2.97E-04,n/a,1.54E-03,2.08E-04,2.80E+04,1.47E+04,1.10E-01,n/a,8.07E-02,1.51E+00,3.40E-01,1.85E-01,n/a,3.49E-01
G007126,Myodes glareolus,Bank vole,8/8/2005,Medium,Female,21.3,11.4,Gutted,n/a,3.22E+02,2.59E+00,n/a,2.19E+02,1.30E+01,2.84E-03,4.48E-04,n/a,1.40E-03,2.30E-04,2.83E+04,1.92E+04,1.33E-01,n/a,6.58E-02,1.52E+00,4.44E-01,2.24E-01,n/a,2.85E-01
